original,unstylized
"The company of a child of his own age will instil new spirit into him soon, and by wishing for strength he'll gain it.' 'Ay, if we can keep him!' I mused to myself; and sore misgivings came over me that there was slight hope of that. And then, I thought, how ever will that weakling live at Wuthering Heights? Between his father and Hareton, what playmates and instructors they'll be. Our doubts were presently decided - even earlier than I expected.","The company of a child of his own age will soon give him new energy, and if I wish him to grow up, he will find it. ""Oh, if only we could keep him!"" I said to myself, sensing that there was still a glimmer of hope. And then I wondered: How on earth will this weakling survive at Wuthering Heights? What kind of playmates and teachers will he have between his father and Hareton! Our doubts dissipated immediately, even faster than I expected."
"I had just taken the children up-stairs, after tea was finished, and seen Linton asleep - he would not suffer me to leave him till that was the case - I had come down, and was standing by the table in the hall, lighting a bedroom candle for Mr. Edgar, when a maid stepped out of the kitchen and informed me that Mr. Heathcliff's servant Joseph was at the door, and wished to speak with the master. 'I shall ask him what he wants first,' I said, in considerable trepidation. 'A very unlikely hour to be troubling people, and the instant they have returned from a long journey. I don't think the master can see him.' Joseph had advanced through the kitchen as I uttered these words, and now presented himself in the hall. He was donned in his Sunday garments, with his most sanctimonious and sourest face, and, holding his hat in one hand, and his stick in the other, he proceeded to clean his shoes on the mat. 'Good-evening, Joseph,' I said, coldly. 'What business brings you here to-night?' 'It's Maister Linton I mun spake to,' he answered, waving me disdainfully aside. 'Mr. Linton is going to bed; unless you have something particular to say, I'm sure he won't hear it now,' I continued. 'You had better sit down in there, and entrust your message to me.' 'Which is his rahm?' pursued the fellow, surveying the range of closed doors.","I had just brought the children up after tea and found Linton asleep—he would not leave me in peace until I left him. I had gone downstairs and was standing at the hall table to light a candle for Mr. Edgar, when a maid came out of the kitchen and told me that Joseph, Mr. Heathcliff's servant, was at the door and wished to speak to the master. ""I will ask him what he wants first,"" I said, somewhat anxiously. ""It is an unpropitious time to disturb people, especially when they have just returned from a long journey. I do not suppose the master can see him."" Joseph had crossed the kitchen as I spoke these words and appeared in the hall. He was in his best clothes, with his most moralizing and sullen expression, his hat in one hand, his stick in the other, and was just beginning to polish his shoes on the doormat. ""Good evening, Joseph,"" I said coldly. ""What brings you here tonight?"" ""I've spoken with Master Linton,"" he replied, waving me off. ""Mr. Linton is going to bed; unless you have something specific to say to him, he certainly won't hear you now,"" I continued. ""You'd better sit over there and leave me your message."" ""What is his address?"" the man asked, scanning the row of closed doors."
"I perceived he was bent on refusing my mediation, so very reluctantly I went up to the library, and announced the unseasonable visitor, advising that he should be dismissed till next day. Mr. Linton had no time to empower me to do so, for Joseph mounted close at my heels, and, pushing into the apartment, planted himself at the far side of the table, with his two fists clapped on the head of his stick, and began in an elevated tone, as if anticipating opposition - 'Hathecliff has sent me for his lad, and I munn't goa back 'bout him.' Edgar Linton was silent a minute; an expression of exceeding sorrow overcast his features: he would have pitied the child on his own account; but, recalling Isabella's hopes and fears, and anxious wishes for her son, and her commendations of him to his care, he grieved bitterly at the prospect of yielding him up, and searched in his heart how it might be avoided. No plan offered itself: the very exhibition of any desire to keep him would have rendered the claimant more peremptory: there was nothing left but to resign him.","I perceived that he was determined to reject my intercession. Reluctantly, therefore, I went to the library and announced the unwelcome visitor, advising him to leave him alone until the next day. Mr. Linton had no time to allow me to do so, for Joseph, who was sitting directly behind me, forced his way into the room, stood on the other side of the table with both fists gripped around the knob of his cane, and began in a loud voice, as if expecting resistance: ""Hathecliff has sent me for his son, and I cannot come back for him."" Edgar Linton was silent for a moment; an expression of deep sorrow came over him: he would have pitied the child for his own sake; but when he thought of Isabella's hopes and fears, her fervent wishes for her son, and her recommendation that he place him in her care, the thought of abandoning him pained him deeply, and he searched in his heart for some way to avoid it. There was no plan: the mere desire to keep him would make the supplicant more convincing: there was no alternative but to abandon him."
"However, he was not going to rouse him from his sleep. 'Tell Mr. Heathcliff,' he answered calmly, 'that his son shall come to Wuthering Heights to-morrow. He is in bed, and too tired to go the distance now. You may also tell him that the mother of Linton desired him to remain under my guardianship; and, at present, his health is very precarious.' 'Noa!' said Joseph, giving a thud with his prop on the floor, and assuming an authoritative air. 'Noa! that means naught.","He didn't want to wake him, though. ""Tell Mr. Heathcliff,"" he answered calmly, ""that his son is coming to Wuthering Heights tomorrow. He's in bed and is too tired for the whole journey. You can also tell him that Linton's mother wanted to leave him in my care; and at the moment his health is very poor."" ""Noah!"" said Joseph, dropping to the ground and sounding imperious. ""Noah! It means nothing."""
"Hathecliff maks noa 'count o' t' mother, nor ye norther; but he'll heu' his lad; und I mun tak' him - soa now ye knaw!' 'You shall not to-night!' answered Linton decisively. 'Walk down stairs at once, and repeat to your master what I have said. Ellen, show him down. Go - ' And, aiding the indignant elder with a lift by the arm, he rid the room of him and closed the door. 'Varrah weell!' shouted Joseph, as he slowly drew off. 'To-morn, he's come hisseln, and thrust HIM out, if ye darr!' TO obviate the danger of this threat being fulfilled, Mr. Linton commissioned me to take the boy home early, on Catherine's pony; and, said he - 'As we shall now have no influence over his destiny, good or bad, you must say nothing of where he is gone to my daughter: she cannot associate with him hereafter, and it is better for her to remain in ignorance of his proximity; lest she should be restless, and anxious to visit the Heights.","Hathecliffe cares neither for the mother nor for you Northerners; but he will nurse his boy, and I will take him—you know that now!—You will not do that tonight! Linton resolutely replied. Go downstairs at once and tell your master what I said. Ellen, bring him down. Go—"" And he helped the indignant elder with a raised arm, cleared the way, and closed the door. ""Goodbye!"" cried Joseph, backing away slowly. ""Tomorrow he will come himself, and he will cast him out if you dare! To prevent this threat from coming true, Mr. Linton ordered me to bring the boy home early on Catherine's pony. And he said: - Since we now have no influence on his fate, either for good or for ill, you must not tell my daughter where he has gone. She can no longer associate with him, and it is better for her not to know of his presence; otherwise she will become restless and long to visit the Heights."""
"Merely tell her his father sent for him suddenly, and he has been obliged to leave us.' Linton was very reluctant to be roused from his bed at five o'clock, and astonished to be informed that he must prepare for further travelling; but I softened off the matter by stating that he was going to spend some time with his father, Mr. Heathcliff, who wished to see him so much, he did not like to defer the pleasure till he should recover from his late journey. 'My father!' he cried, in strange perplexity. 'Mamma never told me I had a father. Where does he live? I'd rather stay with uncle.' 'He lives a little distance from the Grange,' I replied; 'just beyond those hills: not so far, but you may walk over here when you get hearty. And you should be glad to go home, and to see him.","Just tell him his father has sent for him urgently and he must leave us. Linton had great difficulty getting out of bed at five o'clock and was surprised to learn that he had to prepare for another journey. But I alleviated the situation by telling him he would be spending some time with his father, Mr. Heathcliff, who wanted to see him so badly that he didn't want to wait until he had recovered from his last trip. ""My father!"" he cried, strangely puzzled. ""Mother never told me I had a father. Where does he live? I prefer to stay with my uncle."" ""He lives a little farther from the Grange,"" I replied. ""Just on the other side of these hills: not very far, but you can walk here when you are stronger. And you would be delighted to come home and see him."""
"You must try to love him, as you did your mother, and then he will love you.' 'But why have I not heard of him before?' asked Linton. 'Why didn't mamma and he live together, as other people do?' 'He had business to keep him in the north,' I answered, 'and your mother's health required her to reside in the south.' 'And why didn't mamma speak to me about him?' persevered the child. 'She often talked of uncle, and I learnt to love him long ago. How am I to love papa? I don't know him.' 'Oh, all children love their parents,' I said. 'Your mother, perhaps, thought you would want to be with him if she mentioned him often to you. Let us make haste.","You must try to love him the way you loved your mother, and then he will love you. ""But why have I never heard of him?"" Linton asked. ""Why didn't they live with Mother like everyone else?"" ""He was up north for work,"" I replied, ""and your mother had to live down south for health reasons."" ""And why didn't Mother tell me about him?"" the child persisted. ""She often spoke of Uncle, and I grew fond of him long ago. How can I love Father? I don't even know him."" ""Oh, all children love their parents,"" I said. ""Your mother might have thought you'd want to be with him if she'd spoken of him so often. Let's go."""
"An early ride on such a beautiful morning is much preferable to an hour's more sleep.' 'Is SHE to go with us,' he demanded, 'the little girl I saw yesterday?' 'Not now,' replied I. 'Is uncle?' he continued. 'No, I shall be your companion there,' I said. Linton sank back on his pillow and fell into a brown study. 'I won't go without uncle,' he cried at length: 'I can't tell where you mean to take me.' I attempted to persuade him of the naughtiness of showing reluctance to meet his father; still he obstinately resisted any progress towards dressing, and I had to call for my master's assistance in coaxing him out of bed. The poor thing was finally got off, with several delusive assurances that his absence should be short: that Mr. Edgar and Cathy would visit him, and other promises, equally ill-founded, which I invented and reiterated at intervals throughout the way.","An early walk on such a fine morning is much better than sleeping an extra hour. ""Is she coming with us?"" he asked, ""the little girl I saw yesterday?"" ""Not now,"" I replied. ""Is Uncle with us?"" he continued. ""No, I'll go,"" I said. Linton sank back onto his pillow and collapsed into a brown writing table. ""I'm not going without Uncle,"" he cried at last. ""I don't know where you're taking me."" I tried to convince him that his bad mood was because he didn't want to see his father; but he stubbornly resisted every attempt to dress, and I had to ask my master for help to get him out of bed. The poor child was finally roused from bed thanks to several fallacious promises of short absence: that Mr. Edgar and Cathy would visit him, and other equally unfounded promises, which I made and repeated at intervals during the journey."
"The pure heather-scented air, the bright sunshine, and the gentle canter of Minny, relieved his despondency after a while. He began to put questions concerning his new home, and its inhabitants, with greater interest and liveliness. 'Is Wuthering Heights as pleasant a place as Thrushcross Grange?' he inquired, turning to take a last glance into the valley, whence a light mist mounted and formed a fleecy cloud on the skirts of the blue. 'It is not so buried in trees,' I replied, 'and it is not quite so large, but you can see the country beautifully all round; and the air is healthier for you - fresher and drier. You will, perhaps, think the building old and dark at first; though it is a respectable house: the next best in the neighbourhood.","The clean, heather-scented air, the bright sunshine, and Minny's sweet song finally dispelled his sadness. He began to think about his new home and its inhabitants with growing interest and animation. ""Is Wuthering Heights as pleasant as Thrushcross Grange?"" he asked, turning to take a last look at the valley, from which a light mist rose to form a fluffy cloud at the edge of the blue. ""It's not so low under the trees,"" I replied, ""and it's not so big, but you can look out over the beautiful scenery; and the air is healthier, fresher, and drier."" At first glance, the house might seem old and gloomy, but it was a respectable one: the second-best in the neighborhood."
"And you will have such nice rambles on the moors. Hareton Earnshaw - that is, Miss Cathy's other cousin, and so yours in a manner - will show you all the sweetest spots; and you can bring a book in fine weather, and make a green hollow your study; and, now and then, your uncle may join you in a walk: he does, frequently, walk out on the hills.' 'And what is my father like?' he asked. 'Is he as young and handsome as uncle?' 'He's as young,' said I; 'but he has black hair and eyes, and looks sterner; and he is taller and bigger altogether. He'll not seem to you so gentle and kind at first, perhaps, because it is not his way: still, mind you, be frank and cordial with him; and naturally he'll be fonder of you than any uncle, for you are his own.' 'Black hair and eyes!' mused Linton. 'I can't fancy him.","And you will have such lovely walks on the moor. Hareton Earnshaw, that is, Miss Cathy's other cousin, and therefore in a way yours too, will show you the loveliest places. If the weather is fine, you can take a book and use a green hollow as a desk. And now and then your uncle might come by and walk with you. He often climbs the hills. ""And what is my father like?"" he asked. ""Is he as young and handsome as your uncle?"" ""He is young too,"" I said, ""but he has dark hair and dark eyes and looks sterner. Also, he is getting taller and taller. At first he may not seem very gentle and kind, for that is not his way. Be open and cordial to him. Then, of course, he will love you more than any uncle, for you are his."" ""Dark hair and dark eyes!"" thought Linton. I cannot charm him."
"Then I am not like him, am I?' 'Not much,' I answered: not a morsel, I thought, surveying with regret the white complexion and slim frame of my companion, and his large languid eyes - his mother's eyes, save that, unless a morbid touchiness kindled them a moment, they had not a vestige of her sparkling spirit. 'How strange that he should never come to see mamma and me!' he murmured. 'Has he ever seen me? If he has, I must have been a baby. I remember not a single thing about him!' 'Why, Master Linton,' said I, 'three hundred miles is a great distance; and ten years seem very different in length to a grown-up person compared with what they do to you. It is probable Mr. Heathcliff proposed going from summer to summer, but never found a convenient opportunity; and now it is too late.","So I'm not like him, am I? ""Not much,"" I answered; ""not at all,"" I thought, looking with regret at my companion's pale complexion and frail figure, and at his large, dull eyes—his mother's eyes, only, unless momentarily awakened by some morbid frivolity, they no longer contained any trace of their sparkling wit. ""How strange that he never visited mama and me!"" he murmured. ""Did he ever see me? If so, I must have been a baby. I can't remember anything about him!"" ""Well, Master Linton,"" I said, ""three hundred miles is a long way; and ten years is a very different time for a grown man from what is being done for you. Probably Mr. Heathcliff wanted to go away from summer to summer, but never found a suitable opportunity; and now it's too late."""
"Don't trouble him with questions on the subject: it will disturb him, for no good.' The boy was fully occupied with his own cogitations for the remainder of the ride, till we halted before the farmhouse garden- gate. I watched to catch his impressions in his countenance. He surveyed the carved front and low-browed lattices, the straggling gooseberry-bushes and crooked firs, with solemn intentness, and then shook his head: his private feelings entirely disapproved of the exterior of his new abode.","Don't bother him with questions about it: that would only upset him, and that's not a good sign. The boy remained completely lost in thought for the rest of the journey, until we stopped at the gate of the cottage garden. I watched him, trying to capture the impressions on his face. He examined the carved facade and the low trellis, the scattered gooseberry bushes and the gnarled firs with serious attention, then shook his head: his personal feelings completely disapproved of the exterior of his new home."
"But he had sense to postpone complaining: there might be compensation within. Before he dismounted, I went and opened the door. It was half-past six; the family had just finished breakfast: the servant was clearing and wiping down the table.","But he was smart enough to postpone his complaints: Perhaps there would be some compensation. Before he went downstairs, I went to the door and opened it. It was 6:30 a.m.; the family had just finished breakfast; the waiter was busy clearing and wiping the table."
"Joseph stood by his master's chair telling some tale concerning a lame horse; and Hareton was preparing for the hayfield. 'Hallo, Nelly!' said Mr. Heathcliff, when he saw me. 'I feared I should have to come down and fetch my property myself. You've brought it, have you? Let us see what we can make of it.' He got up and strode to the door: Hareton and Joseph followed in gaping curiosity. Poor Linton ran a frightened eye over the faces of the three. 'Sure-ly,' said Joseph after a grave inspection, 'he's swopped wi' ye, Maister, an' yon's his lass!' Heathcliff, having stared his son into an ague of confusion, uttered a scornful laugh. 'God! what a beauty! what a lovely, charming thing!' he exclaimed. 'Hav'n't they reared it on snails and sour milk, Nelly? Oh, damn my soul! but that's worse than I expected - and the devil knows I was not sanguine!' I bid the trembling and bewildered child get down, and enter.","Joseph stood by his master's chair and told the story of a lame horse; and Hareton prepared for the campaign. ""Hello, Nelly!"" said Mr. Heathcliff when he saw me. ""I was afraid I'd have to go down and get my belongings myself. You brought them, didn't you? Let's see what can be done with them."" He stood up and walked to the door; Hareton and Joseph followed him, open-mouthed and curious. Poor Linton caused a look of fear to appear on the faces of all three. ""Surely,"" said Joseph after a long examination, ""he's changed places with you, sir, and you're his daughter!"" Heathcliff, who had been staring forlornly at his son, laughed contemptuously. ""My goodness! What a beauty! What a sweet, charming creature!"" he cried. ""Didn't they feed him snails and sour milk, Nelly? Oh, damn it!"" But this is worse than I expected, and the devil knows I wasn't optimistic! I ordered the trembling, helpless child to go downstairs and into the house."
"He did not thoroughly comprehend the meaning of his father's speech, or whether it were intended for him: indeed, he was not yet certain that the grim, sneering stranger was his father. But he clung to me with growing trepidation; and on Mr. Heathcliff's taking a seat and bidding him 'come hither' he hid his face on my shoulder and wept. 'Tut, tut!' said Heathcliff, stretching out a hand and dragging him roughly between his knees, and then holding up his head by the chin. 'None of that nonsense! We're not going to hurt thee, Linton - isn't that thy name? Thou art thy mother's child, entirely! Where is my share in thee, puling chicken?' He took off the boy's cap and pushed back his thick flaxen curls, felt his slender arms and his small fingers; during which examination Linton ceased crying, and lifted his great blue eyes to inspect the inspector. 'Do you know me?' asked Heathcliff, having satisfied himself that the limbs were all equally frail and feeble. 'No,' said Linton, with a gaze of vacant fear. 'You've heard of me, I daresay?' 'No,' he replied again. 'No! What a shame of your mother, never to waken your filial regard for me! You are my son, then, I'll tell you; and your mother was a wicked slut to leave you in ignorance of the sort of father you possessed. Now, don't wince, and colour up! Though it is something to see you have not white blood.","He didn't quite understand his father's words, or even whether they were directed at him. He wasn't yet sure if this grim, mocking stranger was his father. But he clung to me with growing fear; and when Mr. Heathcliff sat up and commanded him, ""Come here!"" he buried his face in my shoulder and wept. ""Touhou!"" said Heathcliff, reaching out, pulling him roughly between his knees, and then lifting his head by the chin. ""No joke! We won't hurt you, Linton—is that your name? You're every inch your mother's son! What's my part, clever fellow?"" He took off the boy's cap and brushed back his thick blond curls, feeling his thin arms and little fingers. During this inspection, Linton stopped crying and raised his large blue eyes to scrutinize the inspector. ""Do you recognize me?"" "" asked Heathcliff, after assuring himself that all his limbs were equally frail and weak. ""No,"" replied Linton, looking alarmed. ""I suppose you've heard of me?"" ""No,"" he replied. ""No! What a shame for your mother that she never awakened your filial affection for me! You are my son, I can tell you, and your mother was a real bitch when she told you what sort of father you had. Now don't start trembling and dyeing your hair! Although it is something to see that you have no white blood."""
"Be a good lad; and I'll do for you. Nelly, if you be tired you may sit down; if not, get home again. I guess you'll report what you hear and see to the cipher at the Grange; and this thing won't be settled while you linger about it.' 'Well,' replied I, 'I hope you'll be kind to the boy, Mr. Heathcliff, or you'll not keep him long; and he's all you have akin in the wide world, that you will ever know - remember.' 'I'll be very kind to him, you needn't fear,' he said, laughing. 'Only nobody else must be kind to him: I'm jealous of monopolising his affection.","Be good, I'll take care of it. Nelly, if you're tired, you can sit down; if not, go home. I hope you'll report what you see and hear to the secretary at the Grange; the matter won't be settled until you've thought it over. ""Well,"" I replied, ""I hope you're kind to the boy, Mr. Heathcliff, or you won't have him long; and that's all you have in the wide world of acquaintance, as far as you know—don't forget that."" ""I'll be very kind to him, you needn't be afraid,"" he laughed. ""But no one else needs to be kind to him: I'm jealous of claiming his affections for myself."""
"And, to begin my kindness, Joseph, bring the lad some breakfast. Hareton, you infernal calf, begone to your work. Yes, Nell,' he added, when they had departed, 'my son is prospective owner of your place, and I should not wish him to die till I was certain of being his successor.","And first of all, Joseph, bring the boy breakfast. Hareton, you damned calf, get to work. ""Yes, Nell,"" he added as he left, ""my son is the future owner of your property, and I don't want him to die before I'm sure he'll be his successor."""
"Besides, he's MINE, and I want the triumph of seeing MY descendant fairly lord of their estates; my child hiring their children to till their fathers' lands for wages. That is the sole consideration which can make me endure the whelp: I despise him for himself, and hate him for the memories he revives! But that consideration is sufficient: he's as safe with me, and shall be tended as carefully as your master tends his own. I have a room up-stairs, furnished for him in handsome style; I've engaged a tutor, also, to come three times a week, from twenty miles' distance, to teach him what he pleases to learn.","Besides, he belongs to me, and I long for the triumph of my descendant, who will become lord and master of his lands; my child hires his children to work for hire on their fathers' lands. That is the only reason I tolerate this boy: I despise him for himself and hate him for the memories he evokes in me! But this consideration is enough: he is safe with me and will be cared for with the same care that your master cares for his own house. I have a room upstairs, beautifully furnished, for him; I have also engaged a tutor who comes three times a week from about thirty kilometers away to teach him everything he wishes to learn."
"I've ordered Hareton to obey him: and in fact I've arranged everything with a view to preserve the superior and the gentleman in him, above his associates. I do regret, however, that he so little deserves the trouble: if I wished any blessing in the world, it was to find him a worthy object of pride; and I'm bitterly disappointed with the whey-faced, whining wretch!' While he was speaking, Joseph returned bearing a basin of milk- porridge, and placed it before Linton: who stirred round the homely mess with a look of aversion, and affirmed he could not eat it. I saw the old man-servant shared largely in his master's scorn of the child; though he was compelled to retain the sentiment in his heart, because Heathcliff plainly meant his underlings to hold him in honour. 'Cannot ate it?' repeated he, peering in Linton's face, and subduing his voice to a whisper, for fear of being overheard. 'But Maister Hareton nivir ate naught else, when he wer a little 'un; and what wer gooid enough for him's gooid enough for ye, I's rayther think!' 'I SHA'N'T eat it!' answered Linton, snappishly. 'Take it away.' Joseph snatched up the food indignantly, and brought it to us. 'Is there aught ails th' victuals?' he asked, thrusting the tray under Heathcliff's nose. 'What should ail them?' he said. 'Wah!' answered Joseph, 'yon dainty chap says he cannut ate 'em.","I commanded Hareton to obey him and did everything I could to maintain his superiority and mastery over his colleague. I regret, however, that he is so little worthy of this trouble: if ever I wished to bestow upon him a blessing, it was to find in him a worthy pride; and I am deeply disappointed in this pale, whiny wretch! While he was speaking, Joseph returned with a bowl of porridge and set it before Linton. He stirred the meager mixture with disgust, protesting that he could not eat it. I saw that the old servant shared his master's contempt for the child; though he was forced to keep it to himself, for Heathcliff evidently thought his inferiors held him in high esteem. ""Can't he eat?"" he repeated, staring at Linton and lowering his voice to a whisper for fear of being overheard. ""But Master Hareton ate nothing else as a boy; and what suited him will suit you, I suppose!"" ""I won't eat it!"" ""Take it away!"" Linton retorted sharply. ""Take it away."" Joseph indignantly snatched the food and brought it to us. ""Is there anything wrong with this food?"" he asked, holding it under Heathcliff's nose. ""What's the matter?"" he asked. ""Phew!"" Joseph replied, ""the fine fellow says he can't eat it."""
"But I guess it's raight! His mother wer just soa - we wer a'most too mucky to sow t' corn for makking her breead.' 'Don't mention his mother to me,' said the master, angrily. 'Get him something that he can eat, that's all. What is his usual food, Nelly?' I suggested boiled milk or tea; and the housekeeper received instructions to prepare some. Come, I reflected, his father's selfishness may contribute to his comfort.","But I think it's true! His mother was the same: We were almost too dirty to sow the grain for his bread. ""Don't tell me about his mother,"" the man said angrily. ""Just give him something to eat. What does he usually eat, Nelly?"" I suggested boiled milk or tea, and the housekeeper was instructed to make some. Well, I thought, his father's selfishness might well contribute to his well-being."
"He perceives his delicate constitution, and the necessity of treating him tolerably. I'll console Mr. Edgar by acquainting him with the turn Heathcliff's humour has taken. Having no excuse for lingering longer, I slipped out, while Linton was engaged in timidly rebuffing the advances of a friendly sheep-dog.","He is aware of his fragility and knows that he must be treated with tolerance. I go to comfort Mr. Edgar by explaining to him how Heathcliff's mood has changed. Since I have no reason to stay longer, I sneak away, while Linton timidly rebuffs the advances of a friendly German Shepherd."
"But he was too much on the alert to be cheated: as I closed the door, I heard a cry, and a frantic repetition of the words 'Don't leave me! I'll not stay here! I'll not stay here!' Then the latch was raised and fell: they did not suffer him to come forth. I mounted Minny, and urged her to a trot; and so my brief guardianship ended. WE had sad work with little Cathy that day: she rose in high glee, eager to join her cousin, and such passionate tears and lamentations followed the news of his departure that Edgar himself was obliged to soothe her, by affirming he should come back soon: he added, however, 'if I can get him'; and there were no hopes of that.","But he was too watchful to be deceived: just as I was closing the door, I heard a cry and a desperate repetition of the words: ""Don't leave me! I won't stay here! I won't stay here!"" Then the bolt opened and shut: they wouldn't let him out. I mounted Minny and set her trotting; thus ended my short watch. That day we had a sad task with little Cathy: she rose full of joy, eager to go to her cousin, and the news of his departure excited such passionate tears and wailing that Edgar himself had to console her by saying he would soon return; but he added, ""When I get him back""; and there was no more hope."
"This promise poorly pacified her; but time was more potent; and though still at intervals she inquired of her father when Linton would return, before she did see him again his features had waxed so dim in her memory that she did not recognise him. When I chanced to encounter the housekeeper of Wuthering Heights, in paying business visits to Gimmerton, I used to ask how the young master got on; for he lived almost as secluded as Catherine herself, and was never to be seen. I could gather from her that he continued in weak health, and was a tiresome inmate.","This promise hardly reassured her; but time was stronger. And although she still occasionally asked her father when Linton would return, his features were so blurred in her memory that she no longer recognized him. Whenever I met the housekeeper from Wuthering Heights on a business trip to Gimmerton, I inquired after the young gentleman; he lived almost as withdrawn as Catherine herself and was never seen. I concluded that he was still in poor health and a troublesome resident."
"She said Mr. Heathcliff seemed to dislike him ever longer and worse, though he took some trouble to conceal it: he had an antipathy to the sound of his voice, and could not do at all with his sitting in the same room with him many minutes together. There seldom passed much talk between them: Linton learnt his lessons and spent his evenings in a small apartment they called the parlour: or else lay in bed all day: for he was constantly getting coughs, and colds, and aches, and pains of some sort. 'And I never know such a fainthearted creature,' added the woman; 'nor one so careful of hisseln. He WILL go on, if I leave the window open a bit late in the evening.","She said Mr. Heathcliff seemed to like him less and less, although he tried to hide it: he detested the sound of his voice and absolutely could not bear to sit in the same room with him for hours on end. They rarely spoke: Linton studied and spent his evenings in a small room they called the parlor, or he lay in bed all day, constantly plagued by coughs, colds, aches, and all sorts of ailments. ""And I have never known such a coward,"" the woman added, ""nor such a cautious person. He will continue if I leave the window open a little longer in the evening."""
"Oh! it's killing, a breath of night air! And he must have a fire in the middle of summer; and Joseph's bacca-pipe is poison; and he must always have sweets and dainties, and always milk, milk for ever - heeding naught how the rest of us are pinched in winter; and there he'll sit, wrapped in his furred cloak in his chair by the fire, with some toast and water or other slop on the hob to sip at; and if Hareton, for pity, comes to amuse him - Hareton is not bad-natured, though he's rough they're sure to part, one swearing and the other crying. I believe the master would relish Earnshaw's thrashing him to a mummy, if he were not his son; and I'm certain he would be fit to turn him out of doors, if he knew half the nursing he gives hisseln. But then he won't go into danger of temptation: he never enters the parlour, and should Linton show those ways in the house where he is, he sends him up-stairs directly.' I divined, from this account, that utter lack of sympathy had rendered young Heathcliff selfish and disagreeable, if he were not so originally; and my interest in him, consequently, decayed: though still I was moved with a sense of grief at his lot, and a wish that he had been left with us.","Oh! It's murderous, a breath of night air! And he has to light a fire in the middle of summer; and Joseph's tobacco pipe is poison; and he always needs sweets and dainties and milk, always, milk forever—no matter how straitened we are in the winter; and he'll be sitting there, wrapped in his fur coat, in his armchair by the fire, with toast and water or something on the fire to sip; and when Hareton comes for him out of pity—Hareton is not bad, though he is brutal—they are bound to part, one cursing, the other weeping. I think the Lord would be pleased to have Earnshaw muffle him, if he weren't his son; and I'm sure he could send him away if he knew half a thing or two about how to get around. But then he won't be tempted: he'll never enter the parlor, and if Linton behaved like that in the house where he is, he'd send him upstairs at once. From this story, I concluded that young Heathcliff's lack of compassion had made him selfish and unpleasant, even if he wasn't originally so. My interest in him faded like snow in the sun. Yet I still felt sorry for him and wished he would stay with us."
"Mr. Edgar encouraged me to gain information: he thought a great deal about him, I fancy, and would have run some risk to see him; and he told me once to ask the housekeeper whether he ever came into the village? She said he had only been twice, on horseback, accompanying his father; and both times he pretended to be quite knocked up for three or four days afterwards. That housekeeper left, if I recollect rightly, two years after he came; and another, whom I did not know, was her successor; she lives there still. Time wore on at the Grange in its former pleasant way till Miss Cathy reached sixteen.","Mr. Edgar encouraged me to inquire. I think he thought highly of him and would have taken the risk of meeting him. One day he recommended that I ask the housekeeper if he had ever been to the village. She told me he had only been there twice, on horseback, with his father. And both times he had pretended to be pregnant for three or four days. This housekeeper left the village, if I remember correctly, two years after his arrival. Another, whom I did not know, took her place. She still lives there today. Time passed as before on the estate, entirely at his pleasure, until Miss Cathy was sixteen."
"On the anniversary of her birth we never manifested any signs of rejoicing, because it was also the anniversary of my late mistress's death. Her father invariably spent that day alone in the library; and walked, at dusk, as far as Gimmerton kirkyard, where he would frequently prolong his stay beyond midnight. Therefore Catherine was thrown on her own resources for amusement.","We didn't show the slightest joy on her birthday, as it was also the anniversary of my late mistress's death. Her father always spent the day alone in the library and, at sunset, went to Gimmerton Cemetery, where he often stayed until after midnight. So Catherine could entertain herself."
"This twentieth of March was a beautiful spring day, and when her father had retired, my young lady came down dressed for going out, and said she asked to have a ramble on the edge of the moor with me: Mr. Linton had given her leave, if we went only a short distance and were back within the hour. 'So make haste, Ellen!' she cried. 'I know where I wish to go; where a colony of moor-game are settled: I want to see whether they have made their nests yet.' 'That must be a good distance up,' I answered; 'they don't breed on the edge of the moor.' 'No, it's not,' she said. 'I've gone very near with papa.' I put on my bonnet and sallied out, thinking nothing more of the matter. She bounded before me, and returned to my side, and was off again like a young greyhound; and, at first, I found plenty of entertainment in listening to the larks singing far and near, and enjoying the sweet, warm sunshine; and watching her, my pet and my delight, with her golden ringlets flying loose behind, and her bright cheek, as soft and pure in its bloom as a wild rose, and her eyes radiant with cloudless pleasure. She was a happy creature, and an angel, in those days.","That 20th of March was a fine spring day, and after her father had left, my young wife, dressed for going out, came downstairs and told me she wanted to take me for a walk along the edge of the moor. Mr. Linton had given her permission, on condition that we go only a short distance and be back within the hour. ""Then hurry, Ellen!"" she cried. ""I know where I'm going: to where a colony of moor deer has settled. I want to see if they've built any nests."" ""It must be far,"" I answered. ""They don't nest on the edge of the moor."" ""No, they don't,"" she said. ""I was very close by with my father."" I put on my hat and set off without hesitation. She bounded ahead of me, came back to me, and then rose again like a young greyhound; And at first, I found it wonderful to listen to the song of the larks everywhere and to enjoy the gentle, warm sunshine, but also to look at her, my darling and my happiness, with her golden curls falling freely over her back, her radiant cheeks as soft and pure as a wild rose, and her eyes shining with cloudless joy. She was a joyful creature, an angel, then."
